time_s,imu_f_ax,imu_f_ay,imu_f_az,imu_f_gx,imu_f_gy,imu_f_gz,imu_p_ax,imu_p_ay,imu_p_az,imu_p_gx,imu_p_gy,imu_p_gz,frame_pitch,frame_roll,frame_yaw,pay_pitch,pay_roll,pay_yaw,rel_pitch,rel_roll,p_err,t_vel_p,ff_pitch,cam_pr,vel_err_p,vq_pitch,r_err,t_vel_r,ff_roll,cam_rr,vel_err_r,vq_roll,elec_p,elec_r,off_p,off_r
0.0000,0.383,-0.012,10.01,-0.73,0.38,0.18,0.67,-0.649,10.086,0.07,0.02,-0.1,-2.115,0.232,-0.649,-3.82,-3.626,-0.65,-1.699,-3.845,3.82,0.133,0.0,0.0,0.133,0.013,3.626,0.158,-0.0,0.001,0.157,0.016,0.006,6.283,6.069,5.814
0.0290,0.397,0.129,10.015,0.02,0.26,-0.08,0.676,-0.639,10.118,0.05,0.05,0.01,-2.114,0.237,-0.652,-3.817,-3.626,-0.649,-1.697,-3.85,3.817,0.133,0.0,0.001,0.132,0.013,3.626,0.159,0.0,0.001,0.158,0.016,0.007,6.282,6.069,5.814
0.1179,0.381,0.081,10.051,0.29,0.07,-0.11,0.69,-0.644,10.123,0.01,-0.04,0.02,-2.117,0.239,-0.656,-3.823,-3.626,-0.65,-1.7,-3.852,3.823,0.133,0.0,-0.001,0.134,0.014,3.626,0.159,0.0,0.0,0.159,0.016,0.006,6.282,6.069,5.814
0.1466,0.426,0.024,10.039,0.11,-0.09,-0.01,0.676,-0.624,10.095,0.02,0.01,-0.05,-2.117,0.239,-0.656,-3.823,-3.626,-0.65,-1.7,-3.852,3.823,0.133,0.0,-0.001,0.134,0.014,3.626,0.159,0.0,0.0,0.159,0.016,0.006,6.282,6.069,5.814
0.1466,0.426,0.024,10.039,0.11,-0.09,-0.01,0.676,-0.624,10.095,0.02,0.01,-0.05,-2.128,0.245,-0.657,-3.823,-3.621,-0.651,-1.69,-3.852,3.823,0.133,-0.0,0.0,0.133,0.013,3.621,0.159,0.0,0.0,0.159,0.016,0.008,6.282,6.069,5.814
0.1466,0.426,0.024,10.039,0.11,-0.09,-0.01,0.676,-0.624,10.095,0.02,0.01,-0.05,-2.128,0.245,-0.657,-3.823,-3.621,-0.651,-1.69,-3.852,3.823,0.133,-0.0,0.0,0.133,0.013,3.621,0.159,0.0,0.0,0.159,0.016,0.008,6.282,6.069,5.814
0.2032,0.371,0.065,10.094,-0.2,0.22,-0.11,0.673,-0.66,10.039,-0.02,-0.03,-0.07,-2.123,0.246,-0.662,-3.821,-3.623,-0.654,-1.693,-3.855,3.821,0.133,0.0,-0.001,0.134,0.014,3.623,0.16,-0.0,-0.0,0.16,0.016,0.007,6.282,6.069,5.814
0.2363,0.405,0.077,9.986,0.58,-0.4,0.05,0.679,-0.595,10.054,0.12,0.01,0.02,-2.129,0.256,-0.661,-3.823,-3.616,-0.655,-1.689,-3.858,3.823,0.133,-0.0,0.0,0.133,0.014,3.616,0.16,0.0,0.002,0.158,0.016,0.008,6.281,6.069,5.814
0.2363,0.405,0.077,9.986,0.58,-0.4,0.05,0.679,-0.595,10.054,0.12,0.01,0.02,-2.129,0.256,-0.661,-3.823,-3.616,-0.655,-1.689,-3.858,3.823,0.133,-0.0,0.0,0.133,0.014,3.616,0.16,0.0,0.002,0.158,0.016,0.008,6.281,6.069,5.814
0.2950,0.364,0.014,10.044,0.22,0.11,0.02,0.678,-0.646,10.045,0.07,0.03,-0.04,-2.121,0.246,-0.66,-3.827,-3.61,-0.656,-1.701,-3.844,3.827,0.134,0.0,0.001,0.133,0.014,3.61,0.16,0.0,0.001,0.159,0.016,0.006,6.283,6.069,5.814
0.2950,0.364,0.014,10.044,0.22,0.11,0.02,0.678,-0.646,10.045,0.07,0.03,-0.04,-2.121,0.246,-0.66,-3.827,-3.61,-0.656,-1.701,-3.844,3.827,0.134,0.0,0.001,0.133,0.014,3.61,0.16,0.0,0.001,0.159,0.016,0.006,6.283,6.069,5.814
0.3491,0.366,0.096,10.039,0.26,0.13,-0.14,0.67,-0.643,10.11,0.05,-0.02,0.07,-2.125,0.259,-0.664,-3.825,-3.61,-0.657,-1.694,-3.855,3.825,0.134,0.0,-0.0,0.134,0.014,3.61,0.161,0.0,0.001,0.16,0.016,0.007,6.282,6.069,5.814
0.3773,0.371,-0.005,9.981,-0.09,-0.01,-0.05,0.66,-0.674,10.048,0.06,-0.04,0.05,-2.127,0.241,-0.665,-3.823,-3.616,-0.657,-1.691,-3.844,3.823,0.133,-0.0,-0.001,0.134,0.014,3.616,0.161,-0.0,0.001,0.16,0.016,0.007,6.283,6.069,5.814
0.3773,0.371,-0.005,9.981,-0.09,-0.01,-0.05,0.66,-0.674,10.048,0.06,-0.04,0.05,-2.127,0.241,-0.665,-3.823,-3.616,-0.657,-1.691,-3.844,3.823,0.133,-0.0,-0.001,0.134,0.014,3.616,0.161,-0.0,0.001,0.16,0.016,0.007,6.283,6.069,5.814
0.4403,0.651,-0.01,9.926,-0.11,-0.3,-0.08,0.725,-0.615,9.938,0.11,-0.15,0.0,-2.148,0.231,-0.668,-3.83,-3.613,-0.658,-1.676,-3.831,3.83,0.134,-0.0,-0.003,0.136,0.014,3.613,0.162,-0.0,0.002,0.16,0.016,0.009,0.001,6.069,5.814
0.4403,0.651,-0.01,9.926,-0.11,-0.3,-0.08,0.725,-0.615,9.938,0.11,-0.15,0.0,-2.148,0.231,-0.668,-3.83,-3.613,-0.658,-1.676,-3.831,3.83,0.134,-0.0,-0.003,0.136,0.014,3.613,0.162,-0.0,0.002,0.16,0.016,0.009,0.001,6.069,5.814
0.4988,0.402,0.01,9.725,-0.06,-0.46,-0.19,0.633,-0.624,9.986,0.04,0.01,0.03,-2.147,0.258,-0.673,-3.822,-3.61,-0.66,-1.669,-3.855,3.822,0.133,-0.0,0.0,0.133,0.014,3.61,0.162,-0.0,0.001,0.161,0.017,0.01,6.282,6.069,5.814
0.5290,0.347,0.053,9.96,-1.11,0.4,0.5,0.667,-0.642,10.08,0.03,0.11,-0.04,-2.142,0.274,-0.669,-3.821,-3.61,-0.661,-1.674,-3.871,3.821,0.133,0.0,0.002,0.132,0.014,3.61,0.162,-0.0,0.0,0.162,0.017,0.01,6.28,6.069,5.814
0.5290,0.347,0.053,9.96,-1.11,0.4,0.5,0.667,-0.642,10.08,0.03,0.11,-0.04,-2.142,0.274,-0.669,-3.821,-3.61,-0.661,-1.674,-3.871,3.821,0.133,0.0,0.002,0.132,0.014,3.61,0.162,-0.0,0.0,0.162,0.017,0.01,6.28,6.069,5.814
0.5829,0.326,-0.024,9.924,-1.46,0.71,0.0,0.691,-0.628,9.986,-0.01,0.03,0.01,-2.124,0.254,-0.672,-3.822,-3.61,-0.663,-1.692,-3.851,3.822,0.133,0.0,0.001,0.133,0.014,3.61,0.163,-0.0,-0.0,0.163,0.017,0.007,6.282,6.069,5.814
0.6128,0.359,0.093,10.058,0.88,-0.45,-0.09,0.675,-0.65,10.199,-0.0,0.01,0.01,-2.13,0.274,-0.674,-3.821,-3.61,-0.663,-1.685,-3.871,3.821,0.133,-0.0,0.0,0.133,0.014,3.61,0.163,0.0,-0.0,0.163,0.017,0.008,6.28,6.069,5.814
0.6128,0.359,0.093,10.058,0.88,-0.45,-0.09,0.675,-0.65,10.199,-0.0,0.01,0.01,-2.13,0.274,-0.674,-3.821,-3.61,-0.663,-1.685,-3.871,3.821,0.133,-0.0,0.0,0.133,0.014,3.61,0.163,0.0,-0.0,0.163,0.017,0.008,6.28,6.069,5.814
0.7001,0.395,0.098,10.039,0.69,-0.22,-0.09,0.67,-0.638,10.066,0.05,0.01,0.02,-2.122,0.26,-0.677,-3.821,-3.615,-0.664,-1.693,-3.862,3.821,0.133,0.0,0.0,0.133,0.014,3.615,0.164,-0.0,0.001,0.163,0.017,0.007,6.281,6.069,5.814
